zooniverse_user_id,light_curve_id,answer_id,classification_id,"session_id"
260228,639297,10,2853652,NULL
465242,639297,10,3116600,NULL
543310,639297,10,3240004,NULL
383402,639297,10,3634481,NULL
452274,639297,10,3728918,NULL
626841,639297,10,4124742,NULL
619458,639297,10,4124937,NULL
620433,639297,10,4125376,NULL
622549,639297,10,4125607,NULL
10537,639297,10,4125722,NULL
448029,639298,9,3107809,NULL
383402,639298,9,3108128,NULL
74700,639298,9,3108129,NULL
494655,639298,9,3108288,NULL
503957,639298,9,3108367,NULL
272861,639298,9,3108444,NULL
138413,639298,9,3108554,NULL
240505,639298,9,3108809,NULL
31398,639298,9,3108817,NULL
497108,639298,9,3109065,NULL
396535,639299,9,3092377,NULL
509778,639299,9,3092621,NULL
383103,639299,9,3092623,NULL
384824,639299,9,3092762,NULL
439347,639299,9,3092971,NULL
435883,639299,9,3093255,NULL
413669,639299,9,3093327,NULL
407752,639299,10,3093406,NULL
407752,639299,10,3093406,NULL
407752,639299,10,3093406,NULL
407752,639299,10,3093406,NULL
407752,639299,10,3093406,NULL
407752,639299,10,3093406,NULL
407752,639299,10,3093406,NULL
407752,639299,10,3093406,NULL
407752,639299,10,3093406,NULL
407752,639299,10,3093406,NULL
407752,639299,10,3093406,NULL
407752,639299,10,3093406,NULL
407752,639299,10,3093406,NULL
407752,639299,10,3093406,NULL
407752,639299,10,3093406,NULL
407752,639299,10,3093406,NULL
407752,639299,10,3093406,NULL
407752,639299,10,3093406,NULL
407752,639299,10,3093406,NULL
407752,639299,10,3093406,NULL
407752,639299,10,3093406,NULL
407752,639299,10,3093406,NULL
534216,639299,9,3093772,NULL
521527,639299,9,3093997,NULL
260228,639300,9,2842981,NULL
498902,639300,10,2843144,NULL
512006,639300,10,2843205,NULL
397522,639300,10,2843678,NULL
514965,639300,10,2843684,NULL
164197,639300,10,2843923,NULL
168177,639300,10,2843945,NULL
498843,639300,10,2844021,NULL
60234,639300,9,2844515,NULL
521527,639300,9,2844738,NULL
390333,639300,9,2845209,NULL
383402,639301,9,3695790,NULL
250671,639301,9,3697809,NULL
594929,639301,9,3697912,NULL
394987,639301,9,3698125,NULL
394787,639301,9,3698204,NULL
598834,639301,9,3698330,NULL
390333,639301,9,3698411,NULL
597436,639301,10,3698551,NULL
314780,639301,9,3698733,NULL
583632,639301,9,3698982,NULL
383402,639302,9,3694693,NULL
250671,639302,9,3694765,NULL
138413,639302,9,3695187,NULL
413483,639302,9,3695566,NULL
530305,639302,9,3695759,NULL
574780,639302,9,3695904,NULL
494655,639302,9,3696709,NULL
119102,639302,9,3697223,NULL
391094,639302,9,3697265,NULL
79142,639302,9,3697280,NULL
594929,639302,9,3697282,NULL
383402,639304,10,3694609,NULL
622969,639304,9,3991410,NULL
620986,639304,9,3991642,NULL
621270,639304,10,3991903,NULL
622891,639304,9,3991972,NULL
543310,639304,10,3992483,NULL
622778,639304,9,3992502,NULL
622998,639304,9,3992516,NULL
623000,639304,9,3992615,NULL
620314,639304,10,3993087,NULL
622982,639304,10,3993940,NULL
383402,639305,9,3694988,NULL
413483,639305,9,3695077,NULL
250671,639305,9,3695215,NULL
138413,639305,9,3695597,NULL
196468,639305,9,3695629,NULL
388650,639305,9,3695742,NULL
14484,639305,9,3695780,NULL
406452,639305,9,3696405,NULL
494655,639305,9,3696660,NULL
435883,639305,9,3696733,NULL
543310,639306,9,3250200,NULL
441586,639306,9,3250283,NULL
137305,639306,9,3250351,NULL
543623,639306,9,3250402,NULL
383402,639306,9,3250566,NULL
383831,639306,9,3250588,NULL
74700,639306,9,3251004,NULL
436914,639306,9,3251166,NULL
548567,639306,9,3251224,NULL
138413,639306,9,3251354,NULL
383402,639307,9,3695468,NULL
413483,639307,9,3695564,NULL
432940,639307,9,3695626,NULL
514972,639307,9,3695872,NULL
124105,639307,9,3696105,NULL
327372,639307,9,3696383,NULL
435883,639307,9,3696776,NULL
390333,639307,10,3696874,NULL
555886,639307,9,3697071,NULL
119102,639307,9,3697165,NULL
383402,639309,10,3699165,NULL
624498,639309,10,4014246,NULL
390386,639309,10,4014380,NULL
622403,639309,10,4015191,NULL
623717,639309,9,4015429,NULL
619999,639309,9,4015493,NULL
623901,639309,10,4015688,NULL
624620,639309,9,4015770,NULL
624595,639309,10,4015773,NULL
622527,639309,10,4015792,NULL
576286,639310,10,3630600,NULL
386256,639310,10,3649504,NULL
383402,639310,10,3698915,NULL
623157,639310,10,3996931,NULL
624546,639310,10,4014489,NULL
623717,639310,10,4014543,NULL
621431,639310,9,4014643,NULL
609046,639310,10,4014756,NULL
620653,639310,10,4015280,NULL
624620,639310,10,4015373,NULL
383402,639311,9,3696285,NULL
244986,639311,9,3697463,NULL
262032,639311,9,3697634,NULL
442173,639311,9,3697714,NULL
394987,639311,9,3697749,NULL
598834,639311,9,3698286,NULL
387510,639311,9,3698600,NULL
391712,639311,9,3698619,NULL
598436,639311,9,3698646,NULL
391094,639311,9,3698933,NULL
100864,639312,9,2965998,NULL
391094,639312,9,2966059,NULL
240505,639312,9,2966118,NULL
521527,639312,10,2966313,NULL
356957,639312,9,2966445,NULL
44706,639312,10,2966472,NULL
505105,639312,9,2966854,NULL
470433,639312,10,2967118,NULL
390386,639312,10,2967367,NULL
390386,639312,10,2967367,NULL
506017,639312,10,2967555,NULL
241991,639313,9,3042487,NULL
399482,639313,9,3042549,NULL
164197,639313,9,3042659,NULL
391094,639313,9,3042894,NULL
385821,639313,10,3042953,NULL
138413,639313,9,3043026,NULL
496021,639313,10,3043055,NULL
534040,639313,10,3043137,NULL
268456,639313,9,3043140,NULL
506017,639313,9,3043405,NULL
522263,639314,10,3057752,NULL
383402,639314,10,3698951,NULL
390386,639314,10,4015105,NULL
391094,639314,9,4015363,NULL
621709,639314,10,4015437,NULL
619999,639314,10,4015858,NULL
619999,639314,10,4015858,NULL
624692,639314,10,4016421,NULL
294119,639314,10,4016486,NULL
623509,639314,9,4016613,NULL
619170,639314,9,4016693,NULL
623174,639314,9,4016740,NULL
533926,639315,9,3078982,NULL
268456,639315,9,3079026,NULL
533220,639315,9,3079081,NULL
521527,639315,9,3079109,NULL
412681,639315,9,3079623,NULL
384442,639315,9,3079667,NULL
383124,639315,9,3079820,NULL
383402,639315,9,3080034,NULL
241991,639315,9,3080171,NULL
399220,639315,9,3080539,NULL
595046,639316,9,3638946,NULL
514972,639316,9,3638961,NULL
386256,639316,9,3639037,NULL
