8442,5
8454,5
8448,5
10664,5
10873,4
10938,5
11101,4
11431,5
11484,5
11536,5
11623,5
11694,4
11461,5
11029,4
11513,5
11594,5
11741,5
11869,4
10683,5
10698,5
10985,5
11096,4
11170,5
11643,3
11668,4
11835,3
11777,5
10758,5
11133,3
11238,5
11277,5
11476,5
11558,4
11831,4
10697,5
10872,4
11373,4
11518,5
11681,4
11775,5
11781,5
10824,5
10830,5
10856,5
11013,4
11155,5
11506,4
11773,5
11855,5
10723,5
10794,5
11473,5
11496,5
11533,5
11817,4
10974,5
11088,5
11095,4
11187,5
11246,5
11289,5
11397,3
11620,5
11698,3
11705,5
10671,5
11037,4
11150,5
11346,4
11380,3
11404,5
11541,4
11585,5
11645,4
11760,5
10725,5
10804,5
10816,5
10870,5
11128,5
11165,4
11614,4
11739,5
11845,3
10702,5
10784,5
10828,3
10922,4
11261,5
11443,5
11563,4
11666,4
10712,5
10831,5
11222,5
11401,4
11784,5
10933,5
10948,5
11480,5
11692,3
11697,1
10767,5
10997,5
11142,5
11243,5
11291,5
11422,5
11601,5
10905,5
11427,4
11577,5
11591,5
11799,5
10791,5
11144,5
11468,5
11659,4
10852,5
10894,5
11204,5
11268,5
11351,4
11581,5
11627,5
10679,5
10752,5
10798,5
10967,5
11126,4
11319,5
11489,5
10700,4
10796,5
11414,5
11454,5
11615,5
11664,4
11796,5
10996,5
11038,4
11052,5
11124,4
11504,5
11647,2
11703,5
10757,5
11125,4
11164,4
11266,5
11281,5
11400,4
11559,4
11617,5
10871,4
11163,5
11411,5
11622,5
11867,5
10713,5
11048,5
11152,4
11381,4
11789,5
11848,4
11012,4
11663,5
10684,4
11112,4
11191,5
11464,5
11658,4
11019,4
11050,5
11355,3
11744,5
11748,5
11769,5
11241,5
11084,4
11293,5
11310,4
11419,5
11582,4
11593,5
11636,4
11746,5
10741,5
10832,5
10980,5
11151,5
11177,5
11242,5
11255,5
11690,1
11644,3
10952,5
11160,5
11412,5
11435,3
11523,4
11808,3
11031,4
11213,5
11486,5
11816,5
11535,5
10937,5
11545,4
10744,5
11375,4
11477,5
11679,4
10911,5
11211,5
11312,5
11564,4
11271,5
11646,3
10718,5
11231,5
11349,3
11696,2
11671,3
11764,5
10773,5
10833,5
11795,5
10776,4
10805,5
11761,5
11787,5
10860,5
10927,5
10939,5
11407,5
10708,5
11103,4
11424,4
11607,5
10918,5
10953,5
11201,5
11305,4
11336,4
11364,2
10738,5
11066,4
11425,5
10729,5
11309,4
11429,4
10691,5
11766,5
11148,4
11479,5
10681,5
10707,5
10940,5
11423,5
10778,5
10849,5
11123,4
11573,3
11628,5
11683,3
11072,4
11451,5
11462,5
11718,4
11762,5
10676,5
11629,5
11522,5
11542,5
11723,3
11810,4
10754,5
11710,5
11714,4
11613,4
11569,3
11539,4
11111,4
11370,4
10916,4
11708,5
10909,4
11521,5
11434,3
10989,5
11147,5
11590,5
10783,4
10844,5
11661,4
11790,5
10978,5
11432,4
10785,5
10979,5
11024,3
11354,4
11207,5
11209,5
10893,5
10808,5
11256,5
11824,5
10779,5
10789,4
11011,5
11057,5
11466,5
11640,2
11430,4
11287,5
11362,4
11487,5
11631,5
10670,4
10820,4
11032,4
11352,3
10855,5
10888,5
11641,2
10910,4
10840,5
11524,4
11684,1
11393,4
10890,5
11157,5
11188,5
11836,4
11098,4
10675,5
11851,5
11553,4
10885,5
11278,5
11735,3
11548,4
11726,5
11526,5
11202,5
